,Keywords,Coherence c_v
0,"['surfaces', 'surface', 'curvature', 'curvatures', 'shapes', 'mesh', '3d', 'neural', 'shape', 'meshes']",0.6631971135970219
1,"['pose', 'poses', '3d', 'camera', '3dhp', 'cameras', 'posture', '3dsp', 'human3', 'dor3d']",0.5294619342142329
2,"['activelab', 'supervised', 'activellm', 'classification', 'annotators', 'annotations', 'annotation', 'annotate', 'labeled', 'learning']",0.45774864623215483
3,"['machining', 'fabrication', 'manufacturing', 'welding', 'laser', 'machined', 'cad', 'fusion', 'porosity', 'machine']",0.4309566879896046
4,"['reservoir', 'reservoirs', 'neural', 'rnn', 'lstm', 'chaotic', 'forecasting', 'predicting', 'computing', 'memory']",0.6496690696067599
5,"['modeling', 'dynamics', 'nonlinear', 'odes', 'dynamical', 'autoencoder', 'differential', 'dimensionally', 'dimensional', 'pdes']",0.5576026508462816
6,"['gpus', 'scheduling', 'gpu', 'cluster', 'clusters', 'scheduler', 'processors', 'schedulers', 'schedulability', 'schedule']",0.5136918362177185
7,"['channels', 'channel', 'decoding', 'decoders', 'mimo', 'decoder', 'multiplexing', 'communications', 'wireless', 'receiver']",0.6488490267277045
8,"['compilers', 'programming', 'coding', 'compiler', 'code', 'programmers', 'snippets', 'developers', 'programmer', 'apis']",0.6981538867093279
9,"['recommender', 'recommenders', 'personalized', 'conversational', 'recommendation', 'recommendations', 'factorization', 'embeddings', 'attention', 'ranking']",0.611177544296557
10,"['rnns', 'lstms', 'memory', 'softmax', 'attention', 'rnn', 'neural', 'recurrent', 'transformers', 'models']",0.634480329454885
11,"['adversarial', 'adversarially', 'adversary', 'attacks', 'attacker', 'adversaries', 'backdoors', 'defenses', 'classifiers', 'threats']",0.7724804408312013
12,"['analogies', 'analogical', 'analogy', 'analogykb', 'semantic', 'cognition', 'analogous', 'cognitive', 'reasoning', 'thinking']",0.6503401070213359
13,"['outlier', 'outliers', 'outlierness', 'inlier', 'inliers', 'anomaly', 'supervised', 'robust', 'unsupervised', 'detection']",0.6270794556414394
14,"['courts', 'judicial', 'court', 'legalsemi', 'lawyers', 'lawyer', 'law', 'legalai', 'retrieval', 'jurisdiction']",0.5153723421349669
15,"['dialogs', 'dialogue', 'dialogues', 'dialog', 'conversation', 'conversational', 'conversations', 'utterances', 'dialogstudio', 'utterance']",0.7057841357671994
16,"['medical', 'clinical', 'patients', 'medicine', 'med', 'clinician', 'physician', 'doctor', 'annotated', 'physicians']",0.6113787571410373
17,"['ai', 'accountability', 'ethics', 'ethical', 'intelligence', 'aia', 'governance', 'oversight', 'regulations', 'responsibility']",0.7608021683305884
18,"['consciousness', 'conscious', 'cognition', 'ai', 'brain', 'cognitive', 'philosophical', 'artificial', 'neuroscience', 'intelligence']",0.6854889657168225
19,"['musicgen', 'music', 'midi', 'musicrl', 'songs', 'musical', 'genres', 'musicians', 'melodies', 'composers']",0.5386064082247118
20,"['tutoring', 'students', 'learners', 'tracing', 'learning', 'student', 'knowledge', 'assessment', 'classroom', 'learner']",0.5956782978568544
21,"['retrosynthesis', 'retrosynthetic', 'synthesisability', 'synthesis', 'synthesize', 'retrosig', 'retrograph', 'retrowise', 'retrogfn', 'synthons']",0.4302295635660013
22,"['games', 'gameplay', 'chess', 'ai', 'game', 'strategy', 'gaming', 'poker', 'hearthstone', 'play']",0.5207278789672363
23,"['wirelessllm', 'generative', 'ai', 'wireless', 'networks', 'network', 'mobile', 'communications', '6g', 'telecom']",0.5213609113275538
24,"['poetry2image', 'poetry', 'poems', 'poets', 'rhyme', 'rhyming', 'poem', 'syllables', 'literary', 'poetic']",0.6243241435881378
25,"['galaxies', 'galactic', 'galaxy', 'astronomical', 'astronomy', 'astrophysical', 'cosmology', 'cosmic', 'cosmological', 'quasars']",0.6171711166172239
26,"['audio', 'interaural', 'recordings', 'binaural', 'acoustical', 'soundscape', 'auditory', 'microphone', 'acoustic', 'microphones']",0.44538832021654906
27,"['audioset', 'audiovisual', 'audio', 'visual', 'videos', 'scenes', 'supervised', 'auditory', 'embeddings', 'encoder']",0.5107421487558683
28,"['grading', 'graded', 'assessments', 'assessment', 'grades', 'graders', 'grade', 'exams', 'exam', 'students']",0.7019340247694029
29,"['veracity', 'factuality', 'factdetect', 'credibility', 'evidence', 'factscore', 'corpus', 'semantic', 'claims', 'factual']",0.44427491654841844
30,"['highway', 'driving', 'autonomous', 'traffic', 'road', 'vehicles', 'lane', 'planning', 'vehicle', 'cars']",0.8473248089721064
31,"['adversarial', 'backdoors', 'backdoor', 'attacks', 'networks', 'vulnerabilities', 'graphs', 'graphmu', 'gnns', 'adversary']",0.5259828852904962
32,"['priors', 'bayesian', 'posteriors', 'bayes', 'neural', 'posterior', 'deep', 'prior', 'likelihood', 'inference']",0.6709240633774054
33,"['bias', 'biases', 'genders', 'gender', 'gendered', 'biased', 'stereotypes', 'languages', 'language', 'demographics']",0.762493664111823
34,"['blockchain', 'blockchains', 'blockchained', 'mainchain', 'federated', 'ledger', 'decentralized', 'privacy', 'ipfs', 'security']",0.6255396285618913
35,"['ecommerce', 'retailing', 'retail', 'customers', 'purchases', 'marketing', 'promotions', 'customer', 'willingness', 'categories']",0.4394331600272615
36,"['byzantine', 'distributed', 'adversarial', 'mlmc', 'decentralized', 'robustscgmm', 'robust', 'federated', 'aggregators', 'adversaries']",0.5145131947341992
37,"['epidemics', 'epidemic', 'outbreak', 'pandemics', 'pandemic', 'outbreaks', 'influenza', 'covid', 'infectious', 'pandemicllm']",0.5832229168825738
